"prod","dest","mean","sd"
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00225868571096232,0.00142564949790371
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",1.8442446180952e-07,7.31270501536804e-08
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.000152512820540729,5.71194843489947e-05
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.00605376367943119,0.00261670895763516
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",1.85088173053655e-07,7.04148180936352e-08
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.000152184356681649,8.90435450778424e-05
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00409994220489785,0.00315594207880556
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",1.83936880051253e-07,1.09042292454608e-07
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.000152695979671728,5.89272956832594e-05
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.00188745443273752,0.00106407578966837
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",1.85157784712176e-07,7.25385715593699e-08
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.000957168094238642,0.000267006880714717
"Agrotextiles","Soil (MP)",0.0123529086805308,0.00603908966967189
"Agrotextiles","Fresh water",4.73503903420962e-07,2.28651883847223e-07
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",1.85631527285181e-07,8.53792876890365e-08
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
