"prod","dest","mean","sd"
"FabricCoatings","Soil",0.00073574413293992,0.000421237533201651
"FabricCoatings","Soil (MP)",0.00568623700234613,0.00129657814789043
"FabricCoatings","Fresh water",4.75367553316709e-06,2.83168223285028e-06
"FabricCoatings","Fresh water (MP)",0.000662309941626314,0.000257403770542146
"FabricCoatings","Subsurface soil (MP)",0.000347678708943954,0.000238040278009887
"FabricCoatings","Coastal and ocean water",3.21783377270949e-07,1.86093555765865e-07
"FabricCoatings","Coastal and ocean water (MP)",8.99207689042564e-05,8.70976506970138e-05
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.0796795551829861,0.0204694332858315
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0315457646277809,0.0194930607267383
"Cosmetics","Subsurface soil (MP)",0.125266410493855,0.0636895386756729
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0.00849253604915327,0.0186145180530181
"ShotgunCartridges","Soil",0.612912573349385,0.221279520922048
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0988438606640527,0.0407832610817065
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",3.21578323571568e-07,1.87394293623919e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000738641771396111,0.000213589921227708
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",4.79839905612237e-06,1.45689370578757e-06
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",3.22382542349063e-07,9.43147597407535e-08
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.0420094839920999,0.0139932410608488
"FishingGearOcean","Coastal and ocean water (MP)",0.00740832698402455,0.000920643500175254
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.0036901165997017,0.000459543994100638
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000729647765989798,0.000382115569916735
"ApparelPC","Soil (MP)",0.00291991939337922,0.00161898780853475
"ApparelPC","Fresh water",4.74255870595485e-06,2.58648135910522e-06
"ApparelPC","Fresh water (MP)",0.000295222498330106,0.00016036501927273
"ApparelPC","Subsurface soil (MP)",0.00104167261795912,0.000509256960490732
"ApparelPC","Coastal and ocean water",3.18980006717862e-07,1.69740761084007e-07
"ApparelPC","Coastal and ocean water (MP)",0.000114555387305466,0.000155398998940274
"HouseholdTextilesPC","Soil",0.000738522954623003,0.00033175452078112
"HouseholdTextilesPC","Soil (MP)",0.000838832917934421,0.00070992936985977
"HouseholdTextilesPC","Fresh water",4.81778067936664e-06,2.30342145110153e-06
"HouseholdTextilesPC","Fresh water (MP)",3.769813659493e-05,2.09927953500801e-05
