Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Litter to Soil,931$\pm$560,1940$\pm$1400,1920$\pm$1200,247$\pm$160,1390$\pm$1400,2740$\pm$2500,2770$\pm$2400,11900$\pm$4100,2870$\pm$1500,1.64$\pm$1.4,6,8,8,6,8,8,8,10,8,8
Litter to Fresh water,4.69$\pm$2.7,5.72$\pm$3.5,9$\pm$5.4,2.31$\pm$1.3,0.346$\pm$0.21,1.52$\pm$0.91,12.1$\pm$9.4,35.7$\pm$12,10.4$\pm$4.4,0.00266$\pm$0.0013,2,2,2,2,1,2,4,4,4,2
Litter to Coastal and ocean water,4.86$\pm$4.1,5.59$\pm$4.4,6.84$\pm$5.1,1.54$\pm$1.2,0.378$\pm$0.35,0.575$\pm$0.44,12.3$\pm$11,32.1$\pm$13,10.5$\pm$6,0.00191$\pm$0.0012,2,2,2,2,1,1,4,4,4,2
Dumping to Litter,563$\pm$210,638$\pm$250,1060$\pm$350,325$\pm$110,47$\pm$21,231$\pm$91,817$\pm$300,3690$\pm$590,1200$\pm$330,0.372$\pm$0.12,6,6,8,6,4,6,6,8,8,6
Unintended C&D waste to Waste collection and recycling,862$\pm$670,29.4$\pm$23,0$\pm$0,0$\pm$0,4630$\pm$3500,2470$\pm$1700,0$\pm$0,7990$\pm$4000,891$\pm$670,4.63$\pm$3.5,6,4,0,0,8,8,0,8,6,8
Unintended C&D waste to Soil,13.4$\pm$13,0.454$\pm$0.44,0$\pm$0,0$\pm$0,54.7$\pm$48,38.4$\pm$34,0$\pm$0,107$\pm$61,13.9$\pm$13,0.0547$\pm$0.048,4,1,0,0,4,4,0,6,4,4
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.64$\pm$2.5,0$\pm$0,0$\pm$0,2.64$\pm$2.5,0$\pm$0,0.00264$\pm$0.0025,0,0,0,0,2,0,0,2,0,2
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,14.6$\pm$14,0$\pm$0,0$\pm$0,14.6$\pm$14,0$\pm$0,0.0146$\pm$0.014,0,0,0,0,4,0,0,4,0,4
Indoor air to Waste collection and recycling,5.21$\pm$4.1,13.9$\pm$10,60.3$\pm$44,9.96$\pm$7.9,2.11$\pm$1.7,74.7$\pm$49,209$\pm$180,375$\pm$210,19.1$\pm$11,0.0121$\pm$0.0081,2,4,4,2,2,4,6,6,4,4
Indoor air to Storm water and wastewater (MP),0.934$\pm$0.81,2.48$\pm$2,10.8$\pm$8.7,1.76$\pm$1.5,0.375$\pm$0.32,13.2$\pm$9.7,37.1$\pm$35,66.6$\pm$40,3.41$\pm$2.2,0.00214$\pm$0.0016,1,2,4,2,1,4,4,4,2,2
Indoor air to Air (MP),4.15$\pm$4,10.8$\pm$9.9,47$\pm$43,7.86$\pm$7.4,1.69$\pm$1.6,59.4$\pm$49,163$\pm$170,294$\pm$190,14.9$\pm$11,0.00955$\pm$0.0076,2,4,4,2,2,4,6,6,4,2
Air to Soil (MP),11.6$\pm$6.6,30.5$\pm$17,142$\pm$75,9.65$\pm$6.2,18$\pm$8.6,112$\pm$54,223$\pm$180,546$\pm$220,42$\pm$18,0.0277$\pm$0.011,4,4,6,2,4,6,6,6,4,4
Air to Fresh water (MP),0.626$\pm$0.52,1.66$\pm$1.4,7.66$\pm$6,0.523$\pm$0.47,0.974$\pm$0.72,6.12$\pm$4.7,11.9$\pm$12,29.5$\pm$15,2.29$\pm$1.4,0.0015$\pm$0.00086,1,2,2,1,1,2,4,4,2,2
Air to Coastal and ocean water (MP),3.42$\pm$2.7,9.16$\pm$7.1,42.8$\pm$32,2.87$\pm$2.5,5.37$\pm$3.8,34$\pm$25,65.7$\pm$65,163$\pm$81,12.6$\pm$7.6,0.00824$\pm$0.0045,2,2,4,2,2,4,4,6,4,2
Organic waste collection to Compost,23.9$\pm$16,14.2$\pm$10,31.9$\pm$23,3.8$\pm$2.7,0.502$\pm$0.35,3.18$\pm$2.2,12.8$\pm$9.3,90.4$\pm$32,38.1$\pm$19,0.0043$\pm$0.0027,4,4,4,2,1,2,4,4,4,2
Organic waste collection to Compost (MP),20$\pm$14,11.9$\pm$8.9,26.5$\pm$20,3.19$\pm$2.4,0.425$\pm$0.31,2.68$\pm$2,10.8$\pm$8.3,75.5$\pm$28,31.9$\pm$17,0.00361$\pm$0.0024,4,4,4,2,1,2,4,4,4,2
Organic waste collection to End-of-life,3700$\pm$1300,2210$\pm$920,4920$\pm$2100,587$\pm$240,78.4$\pm$31,495$\pm$190,1990$\pm$870,14000$\pm$2800,5910$\pm$1600,0.666$\pm$0.24,8,8,8,6,4,6,8,10,8,6
Compost to Soil,23.9$\pm$16,14.2$\pm$10,31.9$\pm$23,3.8$\pm$2.7,0.502$\pm$0.35,3.18$\pm$2.2,12.8$\pm$9.3,90.4$\pm$32,38.1$\pm$19,0.0043$\pm$0.0027,4,4,4,2,1,2,4,4,4,2
Compost (MP) to Soil (MP),20$\pm$14,11.9$\pm$8.9,26.5$\pm$20,3.19$\pm$2.4,0.425$\pm$0.31,2.68$\pm$2,10.8$\pm$8.3,75.5$\pm$28,31.9$\pm$17,0.00361$\pm$0.0024,4,4,4,2,1,2,4,4,4,2
Total to Soil (MP),1250$\pm$580,193$\pm$70,799$\pm$310,39.9$\pm$16,32$\pm$13,328$\pm$110,420$\pm$220,3060$\pm$710,1440$\pm$590,0.0718$\pm$0.021,8,6,6,4,4,6,6,8,8,4
Total to Fresh water (MP),7.01$\pm$4.8,19.5$\pm$13,76.5$\pm$55,3.37$\pm$2.3,1.11$\pm$0.73,37$\pm$20,44.2$\pm$27,189$\pm$66,26.5$\pm$13,0.00449$\pm$0.0024,2,4,4,2,2,4,4,6,4,2
Total to Soil,1160$\pm$580,2110$\pm$1400,2590$\pm$1300,276$\pm$160,1450$\pm$1400,2830$\pm$2500,3390$\pm$2400,13800$\pm$4200,3280$\pm$1500,1.73$\pm$1.4,8,8,8,6,8,8,8,10,8,8
Total to Fresh water,23$\pm$18,36.2$\pm$22,43$\pm$25,7.51$\pm$5.1,4.42$\pm$2.9,3.14$\pm$2,62.3$\pm$46,180$\pm$60,59.3$\pm$28,0.0119$\pm$0.0059,4,4,4,2,2,2,4,6,4,4
Total to Coastal and ocean water,80.8$\pm$41,81.7$\pm$42,19.9$\pm$6,1.54$\pm$1.2,15$\pm$14,0.575$\pm$0.44,12.3$\pm$11,212$\pm$62,163$\pm$59,0.0165$\pm$0.014,4,4,4,2,4,1,4,6,6,4
Total to Coastal and ocean water (MP),15.8$\pm$5,22.4$\pm$10,53.8$\pm$43,3.11$\pm$2.7,5.37$\pm$3.8,36$\pm$26,68.3$\pm$66,205$\pm$88,38.2$\pm$11,0.00848$\pm$0.0047,4,4,4,2,2,4,4,6,4,2
Total to Landfill,144000$\pm$50000,193000$\pm$61000,283000$\pm$85000,74200$\pm$24000,13800$\pm$4900,57000$\pm$21000,195000$\pm$65000,960000$\pm$140000,337000$\pm$79000,88$\pm$25,10,10,10,10,10,10,10,10,10,10
Total to Sludge amended soil,13.7$\pm$18,478$\pm$520,506$\pm$550,3.96$\pm$4.9,1.11$\pm$1.5,1.23$\pm$1.7,490$\pm$550,1490$\pm$970,491$\pm$520,0.00507$\pm$0.0052,4,6,6,2,2,2,6,8,6,2
Total to Sludge amended soil (MP),151$\pm$68,416$\pm$170,1710$\pm$720,69.3$\pm$31,0.677$\pm$0.32,562$\pm$230,796$\pm$280,3710$\pm$830,567$\pm$190,0.07$\pm$0.031,6,6,8,4,1,6,6,8,6,4
External to Import,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
