Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Clothing to Air (MP),0$\pm$0,0.858$\pm$0.85,19.8$\pm$16,0$\pm$0,0$\pm$0,0$\pm$0,102$\pm$74,123$\pm$85,0.858$\pm$0.85,0$\pm$0,0,1,4,0,0,0,6,6,1,0
Household textiles to Waste collection and recycling,0$\pm$0,100$\pm$47,12800$\pm$4100,0$\pm$0,0$\pm$0,0$\pm$0,39000$\pm$12000,51900$\pm$13000,100$\pm$47,0$\pm$0,0,6,10,0,0,0,10,10,6,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.0623$\pm$0.03,7.94$\pm$2.7,0$\pm$0,0$\pm$0,0$\pm$0,24.3$\pm$7.8,32.3$\pm$8.4,0.0623$\pm$0.03,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Dumping,0$\pm$0,0.129$\pm$0.085,16.4$\pm$8.1,0$\pm$0,0$\pm$0,0$\pm$0,49.8$\pm$23,66.3$\pm$25,0.129$\pm$0.085,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.177$\pm$0.17,22.5$\pm$20,0$\pm$0,0$\pm$0,0$\pm$0,68.9$\pm$61,91.6$\pm$77,0.177$\pm$0.17,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Air (MP),0$\pm$0,0.00888$\pm$0.0075,1.13$\pm$0.84,0$\pm$0,0$\pm$0,0$\pm$0,3.44$\pm$2.5,4.58$\pm$3.2,0.00888$\pm$0.0075,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Other products to Waste collection and recycling,83600$\pm$34000,83500$\pm$34000,242000$\pm$81000,101000$\pm$35000,6760$\pm$2800,112000$\pm$43000,26100$\pm$14000,656000$\pm$110000,167000$\pm$48000,108$\pm$35,10,10,10,10,8,10,10,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,64.5$\pm$37,0$\pm$0,64.5$\pm$37,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,108$\pm$61,107$\pm$59,304$\pm$140,138$\pm$62,8.72$\pm$4.7,148$\pm$70,29$\pm$21,843$\pm$190,215$\pm$85,0.147$\pm$0.062,6,6,6,6,2,6,4,6,6,6
Other products to Organic waste collection,44.9$\pm$23,108$\pm$54,122$\pm$62,85.5$\pm$43,18.6$\pm$9.4,77.4$\pm$39,3.82$\pm$1.9,460$\pm$100,153$\pm$59,0.104$\pm$0.044,4,6,6,4,4,4,2,6,6,6
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,43$\pm$24,0$\pm$0,43$\pm$24,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,3.21$\pm$2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.21$\pm$2,3.21$\pm$2,0$\pm$0,2,0,0,0,0,0,0,2,2,0
Other products to Indoor air (MP),7.88$\pm$4.9,19$\pm$12,21.5$\pm$13,15$\pm$9.3,3.29$\pm$2,35.3$\pm$19,0.674$\pm$0.42,103$\pm$29,26.9$\pm$13,0.0183$\pm$0.0096,2,4,4,4,2,4,1,6,4,4
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,42.6$\pm$28,0$\pm$0,42.6$\pm$28,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Export,351$\pm$210,331$\pm$200,12200$\pm$7300,7070$\pm$4300,0$\pm$0,2840$\pm$1700,1.3$\pm$0.78,22800$\pm$8700,682$\pm$290,7.07$\pm$4.3,6,6,10,8,0,8,2,10,6,8
